model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Optimal Linear classifier (f*),1.0,0.7755140066146851,"[2.0, 3.0, 1.5, 1.5, 2.5, 2.5]","[0.1679084599018097, 0.615619421005249, 0.5715234875679016, 0.1400415450334549, -0.15555299818515778, 0.520650327205658]",456,53,0.1162280701754386
Strategic (f*_s),1.0,0.33690810203552246,"[2.0, 3.0, 1.5, 1.5, 2.5, 2.5]","[0.22917528450489044, 0.37010958790779114, 0.4635142385959625, 0.27308475971221924, -0.1929682493209839, 0.42643436789512634]",552,43,0.07789855072463768
Strat-Imp-Aware (f*_imp),1.0,1.35234534740448,"[2.0, 3.0, 1.5, 1.5, 2.5, 2.5]","[-0.1432143747806549, -0.629899263381958, 0.2282017469406128, 0.13348223268985748, -0.01087488979101181, 1.1391611099243164]",86,15,0.1744186046511628
Optimal Linear classifier (f*),1.0,0.7755140066146851,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.1679084599018097, 0.615619421005249, 0.5715234875679016, 0.1400415450334549, -0.15555299818515778, 0.520650327205658]",1317,211,0.16021260440394836
Strategic (f*_s),1.0,0.23145698010921478,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.24498918652534485, -0.27423983812332153, 0.4857795834541321, 0.30424976348876953, -0.2607676684856415, 1.1772654056549072]",892,76,0.08520179372197309
Strat-Imp-Aware (f*_imp),1.0,1.4049179553985596,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.0441235713660717, -0.7015642523765564, 0.32478874921798706, 0.12840816378593445, -0.0714818462729454, 1.2609657049179077]",87,19,0.21839080459770116
Optimal Linear classifier (f*),1.0,0.7755140066146851,"[1.0, 1.0, 1.2000000476837158, 1.2000000476837158, 1.5, 1.5]","[0.1679084599018097, 0.615619421005249, 0.5715234875679016, 0.1400415450334549, -0.15555299818515778, 0.520650327205658]",763,97,0.127129750982962
Strategic (f*_s),1.0,0.15400256216526031,"[1.0, 1.0, 1.2000000476837158, 1.2000000476837158, 1.5, 1.5]","[0.27964064478874207, 0.47897663712501526, 0.357614666223526, 0.30388346314430237, -0.16267991065979004, 0.39101743698120117]",789,43,0.05449936628643853
Strat-Imp-Aware (f*_imp),1.0,0.7434635162353516,"[1.0, 1.0, 1.2000000476837158, 1.2000000476837158, 1.5, 1.5]","[-0.18547941744327545, -0.7674779891967773, 0.03267919644713402, 0.17299573123455048, 0.03015882335603237, 0.9852679967880249]",84,22,0.2619047619047619
Optimal Linear classifier (f*),1.0,0.6893692016601562,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[0.09833081066608429, 0.5227912664413452, 0.36752060055732727, 0.15981248021125793, -0.09695808589458466, 0.8006885647773743, 0.10026185214519501]",1220,162,0.13278688524590163
Strategic (f*_s),1.0,0.2169971466064453,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[0.4691004455089569, -0.15180380642414093, 0.32270464301109314, 0.29954835772514343, -0.19933950901031494, 0.9312482476234436, 0.0869794636964798]",785,58,0.07388535031847134
Strat-Imp-Aware (f*_imp),1.0,1.4998068809509277,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[-0.22375793755054474, -0.5584422945976257, 0.3375493288040161, 0.1958821564912796, 0.13292880356311798, 1.281380295753479, 0.0943426638841629]",160,48,0.3
Optimal Linear classifier (f*),1.0,1.2997561693191528,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[-0.08608382940292358, -0.3915978968143463, 0.2708979547023773, -0.0393974706530571, 0.16782532632350922, 0.7808006405830383, -0.03786472976207733]",80,27,0.3375
Strategic (f*_s),1.0,1.1638762950897217,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[-0.09351717680692673, -0.5987290143966675, 0.1152913048863411, 0.07533778995275497, 0.21262338757514954, 0.7084629535675049, 0.007013947237282991]",17,6,0.35294117647058826
Strat-Imp-Aware (f*_imp),1.0,0.9883325099945068,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[-0.033140312880277634, -0.48780202865600586, 0.20493808388710022, 0.03694763407111168, 0.1429380476474762, 0.8072471618652344, -0.02431822568178177]",105,30,0.2857142857142857
Optimal Linear classifier (f*),1.0,1.2997561693191528,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[-0.08608382940292358, -0.3915978968143463, 0.2708979547023773, -0.0393974706530571, 0.16782532632350922, 0.7808006405830383, -0.03786472976207733]",80,27,0.3375
Strategic (f*_s),1.0,1.1638762950897217,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[-0.09351717680692673, -0.5987290143966675, 0.1152913048863411, 0.07533778995275497, 0.21262338757514954, 0.7084629535675049, 0.007013947237282991]",17,6,0.35294117647058826
Strat-Imp-Aware (f*_imp),1.0,0.9883325099945068,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[-0.033140312880277634, -0.48780202865600586, 0.20493808388710022, 0.03694763407111168, 0.1429380476474762, 0.8072471618652344, -0.02431822568178177]",105,30,0.2857142857142857
Optimal Linear classifier (f*),1.0,1.2997561693191528,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[-0.08608382940292358, -0.3915978968143463, 0.2708979547023773, -0.0393974706530571, 0.16782532632350922, 0.7808006405830383, -0.03786472976207733]",80,19,0.2375
Strategic (f*_s),1.0,1.1638762950897217,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[-0.09351717680692673, -0.5987290143966675, 0.1152913048863411, 0.07533778995275497, 0.21262338757514954, 0.7084629535675049, 0.007013947237282991]",17,10,0.5882352941176471
Strat-Imp-Aware (f*_imp),1.0,1.185259461402893,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[-0.06879397481679916, -0.47300878167152405, 0.3016638457775116, 0.08188687264919281, -0.0027672925498336554, 0.8727911710739136, -0.042049892246723175]",69,13,0.18840579710144928
Optimal Linear classifier (f*),1.0,0.6893692016601562,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[0.09833081066608429, 0.5227912664413452, 0.36752060055732727, 0.15981248021125793, -0.09695808589458466, 0.8006885647773743, 0.10026185214519501]",1220,176,0.14426229508196722
Strategic (f*_s),1.0,0.2169971466064453,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[0.4691004455089569, -0.15180380642414093, 0.32270464301109314, 0.29954835772514343, -0.19933950901031494, 0.9312482476234436, 0.0869794636964798]",785,59,0.0751592356687898
Strat-Imp-Aware (f*_imp),1.0,1.5796833038330078,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0, 0.5]","[-0.09508505463600159, -0.5104720592498779, 0.5353585481643677, 0.17200398445129395, -0.021763933822512627, 1.0209356546401978, -0.12294312566518784]",144,43,0.2986111111111111
