model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Strategic (f*_s),1.0,-0.45113271474838257,"[1000.0, 1000.0, 1000.0]","[0.5549388527870178, 1.1786483526229858, 0.8653708696365356]",2,1,0.5
Strat-Imp-Aware (f*_imp),1.0,-0.4901137351989746,"[1000.0, 1000.0, 1000.0]","[0.6291646957397461, 1.0861746072769165, 0.8687828183174133]",2,0,0.0
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[0.800000011920929, 1.0, 1.0]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",16393,5573,0.3399621789788324
Strategic (f*_s),1.0,-1.6770081520080566,"[0.800000011920929, 1.0, 1.0]","[0.5495128035545349, 1.1946890354156494, 0.8682342767715454]",17135,4351,0.2539247154946017
Strat-Imp-Aware (f*_imp),1.0,-1.4924606084823608,"[0.800000011920929, 1.0, 1.0]","[0.5637595057487488, 1.2558492422103882, 0.9206029772758484]",18719,5415,0.28927827341204126
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",30528,11367,0.37234669811320753
Strategic (f*_s),1.0,-4.428508281707764,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5578864216804504, 1.226163625717163, 0.8673862814903259]",26759,6919,0.25856721103180236
Strat-Imp-Aware (f*_imp),1.0,-4.743922710418701,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.44760701060295105, 1.4452738761901855, 0.9742371439933777]",32473,10091,0.31075046962091585
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",30528,11367,0.37234669811320753
Strategic (f*_s),1.0,-4.425426959991455,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5570365190505981, 1.224927544593811, 0.8652467727661133]",26707,6895,0.2581720148275733
Strat-Imp-Aware (f*_imp),1.0,-4.726235866546631,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.43074655532836914, 1.4603513479232788, 0.9522314071655273]",33395,10666,0.3193891301092978
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",30528,11438,0.3746724318658281
Strategic (f*_s),1.0,-4.425426959991455,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5570365190505981, 1.224927544593811, 0.8652467727661133]",26707,6936,0.2597071928707829
Strat-Imp-Aware (f*_imp),1.0,-4.782115936279297,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5295662879943848, 1.4833464622497559, 0.9265549182891846]",33747,10911,0.32331762823362076
Optimal Linear classifier (f*),1.0,-0.45099687576293945,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.552842915058136, 1.1793566942214966, 0.8649845123291016]",30531,11426,0.37424257312240017
Strategic (f*_s),1.0,-4.423285007476807,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5590776205062866, 1.2277926206588745, 0.8658793568611145]",26917,7027,0.2610617825166252
Strat-Imp-Aware (f*_imp),1.0,-4.778982162475586,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5203312039375305, 1.4741706848144531, 0.9209825396537781]",33332,10655,0.31966278651146046
Optimal Linear classifier (f*),1.0,-0.45099687576293945,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.552842915058136, 1.1793566942214966, 0.8649845123291016]",30531,11272,0.36919851953751925
Strategic (f*_s),1.0,-4.423285007476807,"[0.800000011920929, 0.30000001192092896, 0.5]","[0.5590776205062866, 1.2277926206588745, 0.8658793568611145]",26917,7065,0.2624735297395698
