model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Strat-Imp-Aware (f*_imp),1.0,-0.20486389100551605,"[0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224, 0.20000000298023224]","[0.24810314178466797, 0.061654847115278244, 0.2305927276611328, 0.2649726867675781, -0.10095901787281036, 0.8564592599868774]",3436,614,0.17869615832363214
Optimal Linear classifier (f*),1.0,1.452351689338684,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[-0.18014293909072876, -0.40493467450141907, 0.20902016758918762, 0.012143932282924652, 0.13049279153347015, 1.047593355178833]",163,41,0.25153374233128833
Strategic (f*_s),1.0,-0.15562590956687927,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[-0.08331557363271713, -0.19731739163398743, 0.2851681709289551, 0.08384915441274643, 0.1806214600801468, 0.8100729584693909]",3250,452,0.13907692307692307
Strat-Imp-Aware (f*_imp),1.0,0.6814281940460205,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.008482771925628185, -0.08659113198518753, 0.14453908801078796, -0.05559344217181206, 0.0673561692237854, 0.29150763154029846]",157,56,0.35668789808917195
 Optimal Linear classifier (f*),1.0,1.452351689338684,"[0.30000001192092896, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 1.0]","[-0.18014293909072876, -0.40493467450141907, 0.20902016758918762, 0.012143932282924652, 0.13049279153347015, 1.047593355178833]",155,40,0.25806451612903225
Strategic (f*_s),1.0,0.6281256079673767,"[0.30000001192092896, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 1.0]","[-0.1915832757949829, -0.45156437158584595, 0.2158491015434265, 0.13068193197250366, 0.06626395881175995, 0.8995717167854309]",593,176,0.29679595278246207
Strat-Imp-Aware (f*_imp),1.0,0.9099634885787964,"[0.30000001192092896, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 1.0]","[-0.04880410432815552, -0.250303715467453, 0.2777225971221924, -0.06942929327487946, 0.20433656871318817, 0.6675652265548706]",439,138,0.3143507972665148
Optimal Linear classifier (f*),1.0,1.1518089771270752,"[0.30000001192092896, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 1.0]","[-0.08472676575183868, -0.2784280776977539, 0.050550300627946854, -0.01777978613972664, 0.044989630579948425, 0.4803350865840912]",1,0,0.0
Strategic (f*_s),1.0,0.752004861831665,"[0.30000001192092896, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 1.0]","[-0.0693281814455986, -0.2058548480272293, 0.042223382741212845, -0.02441641315817833, 0.059464648365974426, 0.37093305587768555]",8,1,0.125
Strat-Imp-Aware (f*_imp),1.0,0.8344687819480896,"[0.30000001192092896, 0.5, 0.699999988079071, 0.800000011920929, 1.0, 1.0]","[-0.091877281665802, -0.2609843611717224, 0.14995689690113068, -0.002869267016649246, 0.04807651787996292, 0.4795449674129486]",45,7,0.15555555555555556
Optimal Linear classifier (f*),0.01,1.452351689338684,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.18014293909072876, -0.40493467450141907, 0.20902016758918762, 0.012143932282924652, 0.13049279153347015, 1.047593355178833]",3,0,0.0
Strategic (f*_s),0.01,1.4767959117889404,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.2187536656856537, -0.480281263589859, 0.20429480075836182, 0.017760969698429108, 0.16014955937862396, 1.0318443775177002]",4,0,0.0
Strat-Imp-Aware (f*_imp),0.01,1.551392912864685,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.05516979470849037, -0.37923264503479004, 0.2527993619441986, -0.12310955673456192, 0.2317403256893158, 0.954694390296936]",4,1,0.25
Optimal Linear classifier (f*),0.01,0.7755140066146851,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.1679084599018097, 0.615619421005249, 0.5715234875679016, 0.1400415450334549, -0.15555299818515778, 0.520650327205658]",9,1,0.1111111111111111
Strategic (f*_s),0.01,1.1344400644302368,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.053357161581516266, 0.5783416032791138, 0.45521193742752075, 0.03460366278886795, -0.10305307060480118, 0.6463260650634766]",10,1,0.1
Strat-Imp-Aware (f*_imp),0.01,2.028836488723755,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-0.07630952447652817, -0.5175779461860657, 0.4286786913871765, 0.12262744456529617, 0.011202212423086166, 1.2576113939285278]",2,0,0.0
Optimal Linear classifier (f*),0.01,0.7755140066146851,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.1679084599018097, 0.615619421005249, 0.5715234875679016, 0.1400415450334549, -0.15555299818515778, 0.520650327205658]",24,2,0.08333333333333333
Strategic (f*_s),0.01,1.135380506515503,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[0.0352955237030983, 0.5616211891174316, 0.43832582235336304, 0.03878988325595856, -0.12471524626016617, 0.6238197684288025]",12,2,0.16666666666666666
Strat-Imp-Aware (f*_imp),0.01,2.0345611572265625,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.062174949795007706, -0.501205563545227, 0.4466399848461151, 0.14113841950893402, 0.013866596855223179, 1.2731894254684448]",0,0,0
Optimal Linear classifier (f*),0.01,1.452351689338684,"[1.0, 0.5, 1.0, 1.0, 10.0, 10.0]","[-0.18014293909072876, -0.40493467450141907, 0.20902016758918762, 0.012143932282924652, 0.13049279153347015, 1.047593355178833]",1,0,0.0
