model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Strategic (f*_s),1.0,-1.285121202468872,"[0.800000011920929, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.699999988079071]","[0.8668034672737122, 0.03486546874046326, 0.18517392873764038, 0.2742532193660736, 0.01974409818649292, 0.049816232174634933, -0.028727104887366295, 0.2123698890209198]",898,218,0.24276169265033407
Strat-Imp-Aware (f*_imp),1.0,-0.9322221279144287,"[0.800000011920929, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.699999988079071]","[0.9418975710868835, 0.02510695345699787, 0.16997013986110687, 0.27065426111221313, 0.14040112495422363, 0.046524208039045334, 0.06853373348712921, 0.12593019008636475]",1094,343,0.31352833638025596
Optimal Linear classifier (f*),1.0,-0.14542895555496216,"[0.800000011920929, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.699999988079071]","[0.9054892063140869, 0.040777821093797684, 0.15635670721530914, 0.28518274426460266, 0.016025397926568985, 0.05271977186203003, -0.02610725350677967, 0.21677666902542114]",1138,350,0.30755711775043937
Strategic (f*_s),1.0,-1.2895439863204956,"[0.800000011920929, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.699999988079071]","[0.8718267679214478, 0.03437529131770134, 0.1832083910703659, 0.27378153800964355, 0.01629011519253254, 0.050987280905246735, -0.028182221576571465, 0.21698814630508423]",900,220,0.24444444444444444
Strat-Imp-Aware (f*_imp),1.0,-0.9519004821777344,"[0.800000011920929, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.699999988079071]","[0.9331856966018677, 0.03227660804986954, 0.17970207333564758, 0.2708171606063843, 0.14140868186950684, 0.004616045393049717, 0.06884414702653885, 0.12779095768928528]",1081,336,0.3108233117483811
Optimal Linear classifier (f*),1.0,-0.14542895555496216,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.9054892063140869, 0.040777821093797684, 0.15635670721530914, 0.28518274426460266, 0.016025397926568985, 0.05271977186203003, -0.02610725350677967, 0.21677666902542114]",1605,536,0.3339563862928349
Strategic (f*_s),1.0,-1.9414403438568115,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[1.0109195709228516, 0.03727971762418747, 0.1714441031217575, 0.27889934182167053, 0.013598675839602947, 0.06331106275320053, -0.005262224469333887, 0.2130192667245865]",1395,373,0.26738351254480286
Strat-Imp-Aware (f*_imp),1.0,-1.2135016918182373,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.8985924124717712, 0.1037646159529686, 0.20838932693004608, 0.36818116903305054, 0.2475769966840744, 0.058347735553979874, -0.005937861278653145, 0.07150234282016754]",1551,544,0.35074145712443583
Optimal Linear classifier (f*),1.0,-0.14542895555496216,"[0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071]","[0.9054892063140869, 0.040777821093797684, 0.15635670721530914, 0.28518274426460266, 0.016025397926568985, 0.05271977186203003, -0.02610725350677967, 0.21677666902542114]",1265,399,0.31541501976284586
Strategic (f*_s),1.0,-1.4560757875442505,"[0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071]","[0.909608781337738, 0.045023102313280106, 0.17706674337387085, 0.28048938512802124, 0.018825704231858253, 0.05023736134171486, -0.023894065991044044, 0.21183834969997406]",1024,264,0.2578125
Strat-Imp-Aware (f*_imp),1.0,-1.0577155351638794,"[0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071, 0.699999988079071]","[0.9570627808570862, 0.01503079105168581, 0.20121793448925018, 0.3235210180282593, 0.16141843795776367, 0.04769948124885559, 0.053245145827531815, 0.10555516183376312]",1191,385,0.3232577665827036
Optimal Linear classifier (f*),1.0,-0.14542895555496216,"[1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158]","[0.9054892063140869, 0.040777821093797684, 0.15635670721530914, 0.28518274426460266, 0.016025397926568985, 0.05271977186203003, -0.02610725350677967, 0.21677666902542114]",629,167,0.2655007949125596
Strategic (f*_s),1.0,-0.6880071759223938,"[1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158]","[0.8833529949188232, 0.03382565826177597, 0.16110347211360931, 0.2832190990447998, 0.012362360022962093, 0.054979752749204636, -0.03481026738882065, 0.21912968158721924]",450,111,0.24666666666666667
Strat-Imp-Aware (f*_imp),1.0,-0.5605263710021973,"[1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158]","[0.9795785546302795, 0.01820988394320011, 0.1114313080906868, 0.30009573698043823, 0.07476859539747238, -0.01714632660150528, 0.03888818994164467, 0.17426179349422455]",446,111,0.24887892376681614
